sitename; hostname; SRM impl; SRM ver; total (GB); used (GB); filling rate (%); % of VO total space; % of VO used space
egee.irb.hr;egee2.irb.hr;DPM;1.8.2;2952;1356;45,935;0,0674;0,0672
HG-03-AUTH;se01.afroditi.hellasgrid.gr;DPM;1.8.2;6901;5686;82,3939;0,1575;0,2816
IN2P3-IRES;sbgse1.in2p3.fr;DPM;1.8.0;707732;659068;93,124;16,156;32,6432
GR-10-UOI;se01.grid.uoi.gr;DPM;1.8.2;939;602;64,1108;0,0214;0,0298
INFN-LNS;grid-se.lns.infn.it;DPM;1.7.4;538;463;86,0595;0,0123;0,0229
BG02-IM;se001.imbm.bas.bg;DPM;1.8.2;1168;239;20,4623;0,0267;0,0118
PSNC;se.reef.man.poznan.pl;DPM;1.8.0;22421;6830;30,4625;0,5118;0,3383
INFN-PADOVA;prod-se-02.pd.infn.it;DPM;1.8.0;12002;2086;17,3804;0,274;0,1033
INFN-PADOVA;prod-se-01.pd.infn.it;StoRM;1.5.6;3000;0;0,0;0,0685;0,0
CNR-ILC-PISA;gridse.ilc.cnr.it;DPM;1.8.2;431;352;81,6705;0,0098;0,0174
HG-01-GRNET;se01.isabella.grnet.gr;DPM;1.7.4;5851;3101;52,9995;0,1336;0,1536
BG05-SUGrid;se001.grid.uni-sofia.bg;DPM;1.8.0;1927;402;20,8614;0,044;0,0199
MK-03-FINKI;se.hpgcc.finki.ukim.mk;DPM;1.8.2;4130;252;6,1017;0,0943;0,0125
INFN-PISA;gridsrm.pi.infn.it;StoRM;1.5.6;51;21;41,1765;0,0012;0,001
INFN-PISA;stormfe1.pi.infn.it;StoRM;1.6.2;51;21;41,1765;0,0012;0,001
JINR-LCG2;lxse-dc01.jinr.ru;dCache;1.9.12;3667;684;18,6528;0,0837;0,0339
HG-06-EKT;se01.athena.hellasgrid.gr;dCache;1.9.5;8590;17;0,1979;0,1961;0,0008
NIKHEF-ELPROD;tbn18.nikhef.nl;DPM;1.8.2;4396;1340;30,4823;0,1004;0,0664
AUVERGRID;cirigridse01.univ-bpclermont.fr;DPM;1.8.2;9789;3699;37,7873;0,2235;0,1832
HG-04-CTI-CEID;se01.kallisto.hellasgrid.gr;DPM;1.8.2;5284;2660;50,3407;0,1206;0,1317
INFN-TORINO;se-srm-00.to.infn.it;StoRM;1.5.4;4304;0;0,0;0,0983;0,0
M3PEC;se0.m3pec.u-bordeaux1.fr;DPM;1.8.0;11306;5584;49,3897;0,2581;0,2766
MSFG-OPEN;lptadpmsv.msfg.fr;DPM;1.8.0;10829;633;5,8454;0,2472;0,0314
DESY-HH;dcache-se-desy.desy.de;dCache;1.9.12;10714;2933;27,3754;0,2446;0,1453
UKI-SCOTGRID-GLASGOW;svr018.gla.scotgrid.ac.uk;DPM;unset;25073;7248;28,9076;0,5724;0,359
GR-04-FORTH-ICS;grid002.ics.forth.gr;StoRM;1.8.2;750;0;0,0;0,0171;0,0
UNIV-LILLE;sereine.univ-lille1.fr;DPM;1.8.0;118107;33147;28,0652;2,6961;1,6417
UKI-NORTHGRID-LANCS-HEP;fal-pygrid-30.lancs.ac.uk;DPM;1.8.2;16208;5983;36,9139;0,37;0,2963
IEETA;axon-g05.ieeta.pt;DPM;unset;516;238;46,124;0,0118;0,0118
INFN-FERRARA;grid2.fe.infn.it;StoRM;1.5.6;506;1;0,1976;0,0116;0,0
ITWM;fornax-se2.itwm.fhg.de;DPM;unset;1082;147;13,586;0,0247;0,0073
ITWM;fornax-se.itwm.fhg.de;DPM;1.8.2;2164;384;17,7449;0,0494;0,019
TR-03-METU;eymir.grid.metu.edu.tr;DPM;1.8.0;173512;162260;93,5151;3,9609;8,0366
egee.fesb.hr;se1-egee.fesb.hr;DPM;1.7.4;1114;125;11,2208;0,0254;0,0062
MD-02-IMI;node08-02.imi.renam.md;DPM;1.8.2;264;51;19,3182;0,006;0,0025
UKI-LT2-Brunel;dc2-grid-64.brunel.ac.uk;DPM;1.8.2;570510;383358;67,1957;13,0235;18,9874
UKI-LT2-Brunel;dgc-grid-50.brunel.ac.uk;DPM;1.7.2;31904;2868;8,9895;0,7283;0,142
ATLAND;atlandse.fis.puc.cl;DPM;1.8.2;264;14;5,303;0,006;0,0007
UKI-NORTHGRID-LIV-HEP;hepgrid11.ph.liv.ac.uk;DPM;1.8.2;5475;2977;54,3744;0,125;0,1474
BG01-IPP;se001.ipp.acad.bg;dCache;1.9.5;1459;440;30,1576;0,0333;0,0218
INFN-CATANIA;prod-se-02.ct.infn.it;StoRM;1.8.0;14000;0;0,0;0,3196;0,0
HG-02-IASA;se01.marie.hellasgrid.gr;DPM;1.7.4;10000;4702;47,02;0,2283;0,2329
UNIANDES;moboro.uniandes.edu.co;DPM;1.8.2;527;83;15,7495;0,012;0,0041
IN2P3-CC;ccsrm02.in2p3.fr;dCache;1.9.12;2199;313;14,2337;0,0502;0,0155
IFCA-LCG2;storm.ifca.es;StoRM;1.8.0;1000;0;0,0;0,0228;0,0
UKI-NORTHGRID-MAN-HEP;bohr3226.tier2.hep.manchester.ac.uk;DPM;1.8.2;93795;4456;4,7508;2,1411;0,2207
LIP-Coimbra;storm.gridc.lip.pt;StoRM;1.8.2;325;1;0,3077;0,0074;0,0
IISAS-Bratislava;se.ui.savba.sk;DPM;unset;1969;203;10,3098;0,0449;0,0101
UKI-LT2-QMUL;se03.esc.qmul.ac.uk;StoRM;1.8.2;1000;0;0,0;0,0228;0,0
GR-06-IASA;se02.marie.hellasgrid.gr;DPM;1.7.4;401;189;47,1322;0,0092;0,0094
GARR-01-DIR;gridsrv3-4.dir.garr.it;DPM;1.8.2;2144;468;21,8284;0,0489;0,0232
ru-Moscow-SINP-LCG2;lcg59.sinp.msu.ru;DPM;1.8.0;2850;151;5,2982;0,0651;0,0075
GRISU-UNINA;grisuse.scope.unina.it;DPM;1.7.2;4794;844;17,6053;0,1094;0,0418
UKI-LT2-IC-HEP;gfe02.grid.hep.ph.ic.ac.uk;dCache;1.9.12;57580;5743;9,9739;1,3144;0,2844
NCG-INGRID-PT;srm01.ncg.ingrid.pt;StoRM;1.8.2;500;107;21,4;0,0114;0,0053
INFN-TRIESTE;gridsrm.ts.infn.it;StoRM;1.8.1;1001;113;11,2887;0,0229;0,0056
CESGA;se2.egi.cesga.es;DPM;1.8.2;8336;2836;34,0211;0,1903;0,1405
CIEMAT-LCG2;srm.ciemat.es;dCache;1.9.5;1321;440;33,3081;0,0302;0,0218
EFDA-JET;grid001.jet.efda.org;DPM;1.8.0;10300;1492;14,4854;0,2351;0,0739
UKI-SOUTHGRID-RALPP;heplnx204.pp.rl.ac.uk;dCache;1.9.12;500;205;41,0;0,0114;0,0102
IN2P3-LPSC;lpsc-se-dpm-server.in2p3.fr;DPM;1.8.0;75773;13056;17,2304;1,7297;0,6467
UPV-GRyCAP;ngiesse.i3m.upv.es;DPM;1.8.0;478;134;28,0335;0,0109;0,0066
INFN-BARI;storm-se-01.ba.infn.it;StoRM;1.5.0;988956;61;0,0062;22,5758;0,003
MK-01-UKIM_II;grid-se.ii.edu.mk;DPM;1.8.2;2164;1264;58,4104;0,0494;0,0626
INFN-ROMA3;storm-01.roma3.infn.it;StoRM;1.6.2;102;60;58,8235;0,0023;0,003
TR-10-ULAKBIM;torik1.ulakbim.gov.tr;DPM;1.8.0;844842;500882;59,2871;19,286;24,8083
CBPF;se.cat.cbpf.br;DPM;1.8.2;23610;1233;5,2224;0,539;0,0611
CBPF;se02.cat.cbpf.br;DPM;1.8.2;21289;2882;13,5375;0,486;0,1427
RUG-CIT;se.grid.rug.nl;dCache;1.9.10;268;93;34,7015;0,0061;0,0046
UKI-NORTHGRID-SHEF-HEP;lcgse0.shef.ac.uk;DPM;1.8.0;37801;4348;11,5023;0,8629;0,2154
WCSS64;darkmass.wcss.wroc.pl;DPM;unset;429;137;31,9347;0,0098;0,0068
LIP-Lisbon;se05.lip.pt;DPM;1.8.2;105;80;76,1905;0,0024;0,004
CYFRONET-LCG2;dpm.cyf-kr.edu.pl;DPM;1.8.2;50800;20871;41,0846;1,1597;1,0337
IN2P3-CPPM;marsedpm.in2p3.fr;DPM;1.8.0;104331;4396;4,2135;2,3817;0,2177
UA-KNU;arc.univ.kiev.ua;DPM;1.7.4;2164;765;35,3512;0,0494;0,0379
SCAI;scaise-2.scai.fraunhofer.de;DPM;1.8.0;4729;1407;29,7526;0,108;0,0697
csUCCie;gridstore.ucc.ie;DPM;1.7.2;1268;90;7,0978;0,0289;0,0045
HG-07-StratusLab;vm134.grnet.stratuslab.eu;DPM;1.8.0;3097;1252;40,4262;0,0707;0,062
OBSPM;se-dpm-server-grid.obspm.fr;DPM;1.8.0;5823;2708;46,5052;0,1329;0,1341
INFN-CAGLIARI;grid003.ca.infn.it;DPM;1.8.2;2164;490;22,6433;0,0494;0,0243
csTCDie;gridstore.cs.tcd.ie;DPM;1.7.2;12755;8569;67,1815;0,2912;0,4244
WARSAW-EGEE;se.polgrid.pl;DPM;1.8.0;5329;5089;95,4963;0,1216;0,2521
IN2P3-LPC;clrlcgse01.in2p3.fr;DPM;1.8.2;6566;1505;22,9211;0,1499;0,0745
UKI-SOUTHGRID-BHAM-HEP;epgse1.ph.bham.ac.uk;DPM;1.8.2;6435;3492;54,2657;0,1469;0,173
CY-01-KIMON;plethon.grid.ucy.ac.cy;DPM;1.8.0;3599;1973;54,8208;0,0822;0,0977
BEIJING-LCG2;ccsrm.ihep.ac.cn;DPM;1.8.0;586;443;75,5973;0,0134;0,0219
BG04-ACAD;se03.grid.acad.bg;dCache;1.9.1;1100;123;11,1818;0,0251;0,0061
UNINA-EGEE;se.scope.unina.it;DPM;1.7.2;17041;558;3,2745;0,389;0,0276
egee.srce.hr;se1-egee.srce.hr;DPM;1.8.1;2487;202;8,1222;0,0568;0,01
IBCP-GBIO;grive12.ibcp.fr;DPM;1.8.0;2393;368;15,3782;0,0546;0,0182
GRIF;grid05.lal.in2p3.fr;DPM;1.8.0;65635;60557;92,2633;1,4983;2,9993
GRIF;node12.datagrid.cea.fr;DPM;1.8.0;3691;1774;48,0629;0,0843;0,0879
GRIF;polgrid4.in2p3.fr;DPM;1.8.0;34867;28712;82,3472;0,7959;1,4221
TR-05-BOUN;reyhan.grid.boun.edu.tr;DPM;1.8.0;738;294;39,8374;0,0168;0,0146
BG03-NGCC;se.ngcc.acad.bg;dCache;1.9.5;1700;894;52,5882;0,0388;0,0443
HG-05-FORTH;se01.ariagni.hellasgrid.gr;DPM;1.8.2;3219;716;22,2429;0,0735;0,0355
TUDresden-ZIH;ophelia.zih.tu-dresden.de;dCache;1.9.12;107;25;23,3645;0,0024;0,0012
CIEMAT-TIC;se01-tic.ciemat.es;DPM;1.7.3;35641;24910;69,8914;0,8136;1,2338
UPorto;hades.up.pt;DPM;1.7.4;1082;735;67,9298;0,0247;0,0364
GR-01-AUTH;se01.grid.auth.gr;DPM;1.8.2;2952;2237;75,7791;0,0674;0,1108
SAMPA;sampase.if.usp.br;DPM;1.8.2;69;7;10,1449;0,0016;0,0003
